acm_first(value)	dblp_first(value)
"#*Querying Continuous Time Sequences #@Ling Lin, Tore Risch #t1998 #cVLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases #index53908a7420f70186a0da44a0 #%539087c720f70186a0d56e08 #%539087c720f70186a0d56e13 #%539087d420f70186a0d5df40 #%539087d920f70186a0d610c7 #%539087d920f70186a0d6113f #%539087e620f70186a0d67496 #%539087e620f70186a0d674be #%539087f820f70186a0d72c72 #%5390878720f70186a0d34b10 #%5390882720f70186a0d898ff #%5390882720f70186a0d8a9e5 #%5390893e20f70186a0d9285c #%53908a5720f70186a0d9fbd9 #%53908a5720f70186a0d9ffd8 #%53908a5720f70186a0da08df #%53908a5820f70186a0da1649 #%53908a7420f70186a0da4489 #%53908a7420f70186a0da4648 #%53908a9620f70186a0da4706 #%53908a9620f70186a0da4cef #%53908a9620f70186a0da4cf1 #%53908a9620f70186a0da4ece"	#*Querying Continuous Time Sequences. #@Ling Lin, Tore Risch #t1998 #cVLDB #index53e99b3cb7602d97023d98ac #%53e9b91eb7602d9704504ab3 #%53e99c7cb7602d970252b773 #%53e9a958b7602d97032b01a3 #%53e9b7bab7602d97043616b7 #%53e9b797b7602d970433e273 #%53e9b512b7602d9704046062 #%53e99f42b7602d9702810ff0 #%53e9b7cdb7602d9704377823 #%53e9bc4eb7602d97048c57b4 #%53e9b587b7602d97040ccb50 #%53e99b63b7602d97024058ae #%53e9b1b6b7602d9703c42c5f #%53e99fefb7602d97028cc813 #%53e99afdb7602d9702389d65 #%53e9b46fb7602d9703f6fc8e
"#*Computing Iceberg Queries Efficiently #@Min Fang, Narayanan Shivakumar, Hector Garcia-Molina, Rajeev Motwani, Jeffrey D. Ullman #t1998 #cVLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases #index53908a7420f70186a0da45d1 #%539087d420f70186a0d5df23 #%539087d420f70186a0d5e9fe #%539087d920f70186a0d6002e #%539087dd20f70186a0d644ca #%539087eb20f70186a0d6af1e #%539087f820f70186a0d72c73 #%5390878720f70186a0d359c8 #%5390877920f70186a0d2d58e #%5390878a20f70186a0d38150 #%5390879220f70186a0d3d916 #%53908a9620f70186a0da4bb0 #%53908ac620f70186a0daa6ac"	#*Computing Iceberg Queries Efficiently. #@Min Fang, Narayanan Shivakumar, Hector Garcia-Molina, Rajeev Motwani, Jeffrey D. Ullman #t1998 #cVLDB #index53e999ffb7602d9702247e35 #%53e9b91eb7602d9704504ab3 #%53e9bba8b7602d97047f490b #%53e9ac70b7602d970364263e #%53e9b8a1b7602d970447a9de #%53e9a8a3b7602d97031efc5e #%53e9ade9b7602d97037f1417 #%53e9b4f4b7602d970401e72d #%53e9ac70b7602d97036425c6 #%53e9b102b7602d9703b803ea #%53e9bde2b7602d9704a93b6e #%53e9a7c8b7602d9703109317
"#*Bypassing Joins in Disjunctive Queries #@Michael Steinbrunn, Klaus Peithner, Guido Moerkotte, Alfons Kemper #t1995 #cVLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases #index53908a9620f70186a0da4cfb #%5390879d20f70186a0d42c8e #%539087a520f70186a0d48a92 #%539087a520f70186a0d48ff7 #%539087be20f70186a0d51feb #%539087be20f70186a0d51fe9 #%539087be20f70186a0d52fb0 #%539087c720f70186a0d56e00 #%539087c720f70186a0d56dff #%539087f820f70186a0d72b41 #%539087f820f70186a0d72bb7 #%5390880720f70186a0d7a4de #%5390878720f70186a0d34af6 #%5390878720f70186a0d34af7 #%5390878a20f70186a0d37317 #%5390882c20f70186a0d8d454 #%5390893e20f70186a0d9285c #%5390878e20f70186a0d3ae74 #%5390878e20f70186a0d3ae86 #%53908a7420f70186a0da4660 #%53908a9620f70186a0da4b07 #%53908a9620f70186a0da4bb3 #%5390879920f70186a0d40f49 #%53908b2a20f70186a0db90a3 #%53908b2a20f70186a0db94a8"	#*Bypassing Joins in Disjunctive Queries. #@Michael Steinbrunn, Klaus Peithner, Guido Moerkotte, Alfons Kemper #t1995 #cVLDB #index53e9aa5cb7602d97033cb71d #%53e9a2fab7602d9702c067fc #%53e9a76eb7602d97030a8255 #%53e9af2db7602d9703968545 #%53e9ab48b7602d97034dcf69 #%53e99f86b7602d970285d67e #%53e9b44ab7602d9703f42a48 #%53e99eb4b7602d970277b851 #%53e9acf6b7602d97036d42b2 #%53e9bbd5b7602d97048270d3 #%53e9b53cb7602d970407580f #%53e9a885b7602d97031d5769 #%53e99d9db7602d9702657890
"#*Reordering Query Execution in Tertiary Memory Databases #@Sunita Sarawagi, Michael Stonebraker #t1996 #cVLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases #index53908a9620f70186a0da4ecc #%539087a120f70186a0d45be6 #%539087a520f70186a0d47d85 #%53909eef20f70186a0e3670e #%539087ae20f70186a0d4e0a1 #%539087be20f70186a0d51fe8 #%539087be20f70186a0d538e6 #%539087c320f70186a0d561f5 #%539087c720f70186a0d56dc9 #%539087c720f70186a0d56de1 #%539087d420f70186a0d5df26 #%539087d420f70186a0d5e019 #%5390877920f70186a0d2caf6 #%5390881720f70186a0d7fd3a #%5390878720f70186a0d34af1 #%5390878a20f70186a0d3731f #%5390882820f70186a0d8bd23 #%539089d220f70186a0d9a8b1 #%53908a4020f70186a0d9dc37 #%53908a5720f70186a0da03f8 #%53908a5720f70186a0da05d2 #%53908a5720f70186a0da05ef #%53908a5720f70186a0da0675 #%53908a5720f70186a0da085c #%53908a9620f70186a0da4cec #%53908a9620f70186a0da4cf3 #%5390879520f70186a0d3f9cd #%5390879920f70186a0d41e0e #%53908ac620f70186a0daa359 #%53908b4920f70186a0dbac68"	#*Reordering Query Execution in Tertiary Memory Databases. #@Sunita Sarawagi, Michael Stonebraker #t1996 #cVLDB #index53e9a1b5b7602d9702aaa83b #%53e9b321b7602d9703deedf0 #%53e9ab78b7602d970351d73e #%53e9a0eeb7602d97029d968c #%53e9b6e1b7602d97042733b6 #%53e9aed1b7602d97038fe0f5 #%53e9a757b7602d970308da49 #%53e99f64b7602d9702835723 #%53e9b740b7602d97042da0da #%53e99a92b7602d97023097d4 #%53e9a914b7602d97032696e1 #%53e9af94b7602d97039de5ba #%53e99845b7602d970207391e #%53e99cd1b7602d97025855e5 #%53e9ac55b7602d9703627fc9 #%53e9b98ab7602d970457b2be #%53e9afa5b7602d97039f171e #%53e99b2cb7602d97023c639d #%53e9b98ab7602d9704577b66 #%53e9b4b4b7602d9703fcca63 #%53e9a2ddb7602d9702bea9f6 #%53e9bb0eb7602d9704745a75
"#*SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems #@Laks V. S. Lakshmanan, Fereidoon Sadri, Iyer N. Subramanian #t1996 #cVLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases #index53908a9620f70186a0da4e3e #%539087a120f70186a0d45bd9 #%539087a520f70186a0d47fa6 #%539087a520f70186a0d48ff8 #%539087aa20f70186a0d4ab6e #%5390877f20f70186a0d2fd53 #%539087be20f70186a0d53475 #%539087be20f70186a0d53739 #%539087c320f70186a0d55ede #%539087cb20f70186a0d5afa8 #%539087d920f70186a0d60e4e #%539087ef20f70186a0d6e448 #%539089bb20f70186a0d98aa5 #%539089bb20f70186a0d98aad #%53908a5720f70186a0da08f2 #%53908a9620f70186a0da47c3 #%53908a9620f70186a0da4aee #%5390879920f70186a0d40c27 #%53908b0320f70186a0db2156"	#*SchemaSQL - A Language for Interoperability in Relational Multi-Database Systems. #@Laks V. S. Lakshmanan, Fereidoon Sadri, Iyer N. Subramanian #t1996 #cVLDB #index53e9b938b7602d9704525f2a #%53e9b321b7602d9703deedf0 #%53e9b582b7602d97040c584b #%53e9b783b7602d97043292e5 #%53e9ad81b7602d970377728d #%53e9b6d6b7602d9704265eb5 #%53e9ace2b7602d97036c27d6 #%53e9b6f3b7602d9704285a21 #%53e9acc4b7602d97036a0ecd #%53e9b1ffb7602d9703c92c47 #%53e9ae17b7602d9703825532 #%53e9afe1b7602d9703a38018 #%53e9b01cb7602d9703a7690e
"#*Tribeca: A Stream Database Manager for Network Traffic Analysis #@Mark Sullivan #t1996 #cVLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases #index53908a9620f70186a0da4e3d"	#*Tribeca: A Stream Database Manager for Network Traffic Analysis. #@Mark Sullivan #t1996 #cVLDB #index53e9a8ccb7602d970321a81d #%53e9b321b7602d9703deedf0
"#*Multidimensional Access Methods: Trees Have Grown Everywhere #@Timos K. Sellis, Nick Roussopoulos, Christos Faloutsos #t1997 #cVLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases #index53908a9620f70186a0da4ee6"	#*Multidimensional Access Methods: Trees Have Grown Everywhere. #@Timos K. Sellis, Nick Roussopoulos, Christos Faloutsos #t1997 #cVLDB #index53e9b3a3b7602d9703e857da #%53e9ac38b7602d97035ff503
"#*InterViso: dealing with the complexity of federated database access #@Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer #t1995 #cThe VLDB Journal — The International Journal on Very Large Data Bases #index539089bb20f70186a0d98ad3 #%539087a120f70186a0d45bd8 #%539087a120f70186a0d45bde #%539087a520f70186a0d47fa5 #%539087a520f70186a0d47fa6 #%539087a520f70186a0d47fb1 #%539087a520f70186a0d47faf #%539087a520f70186a0d48fe9 #%539087e120f70186a0d66293 #%539087f820f70186a0d72b41 #%539087f820f70186a0d72b9a #%5390881820f70186a0d8155a #%539089bb20f70186a0d98aa2 #%539089bb20f70186a0d98aa6 #%5390879920f70186a0d416dd #%5390879920f70186a0d416db #%5390879920f70186a0d416de #%53908a5720f70186a0da0355 #%53908a5720f70186a0da04af #!Connectivity products are finally available to provide the \"highways\" between computers containing data. IBM has provided strong validation of the concept with their \"Information Warehouse.\" DBMS vendors are providing gateways into their products, and SQL is being retrofitted on many older DBMSs to make it easier to access data from standard 4GL products and application development systems. The next step needed for data integration is to provide (1) a common data dictionary with a conceptual schema across the data to mask the many differences that occur when databases are developed independently and (2) a server that can access and integrate the databases using information from the data dictionary. In this article, we discuss InterViso, one of the first commercial federated database products. InterViso is based on Mermaid, which was developed at SDC and Unisys (Templeton et al., 1987b). It provides a value added layer above connectivity products to handle views across databases, schema translation, and transaction management."	#*InterViso: Dealing With the Complexity of Federated Database Access #@Marjorie Templeton, Herbert Henley, Edward Maros, Darrel J. Van Buer #t1995 #cVLDB J. #index53e9b895b7602d9704469611 #%53e9b7eeb7602d97043a0e20 #%53e9a987b7602d97032e43db #%53e9a408b7602d9702d20218 #%53e9ae6fb7602d970388f42a #%53e9ab7eb7602d9703525c80 #%53e9a9a9b7602d9703307d1c #%53e9b582b7602d97040c584b #%53e99e3fb7602d9702705231 #%53e99eb4b7602d970277b851 #%53e9aee4b7602d970391304b #%53e9b31bb7602d9703de9027 #%53e9bd6ab7602d9704a0580b #%53e9b600b7602d9704153a5a
"#*Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms #@Hannes Spintzik #t1995 #cVLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases #index53908a9620f70186a0da4cf6"	#*Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms. #@Hannes Spintzik #t1995 #cVLDB #index53e9b4abb7602d9703fb7f06 #%53e9a2fab7602d9702c067fc
"#*Using Referential Integrity To Easily Define Consistent Subset Replicas #@Brad Hammond #t1996 #cVLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases #index53908a9620f70186a0da4e2d"	#*Using Referential Integrity To Easily Define Consistent Subset Replicas. #@Brad Hammond #t1996 #cVLDB #index53e9b295b7602d9703d3ac79 #%53e9b321b7602d9703deedf0
"#*Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting #@Srinivas Ashwin, Prasan Roy, S. Seshadri, Abraham Silberschatz, S. Sudarshan #t1997 #cVLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases #index53908a9620f70186a0da4ed9 #%539087be20f70186a0d51fc5 #%539087c720f70186a0d56e07 #%5390877920f70186a0d2d5d5 #%53908a5720f70186a0da0718 #%53908a9620f70186a0da4d82 #%5390879520f70186a0d3dc50"	#*Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting. #@Srinivas Ashwin, Prasan Roy, S. Seshadri, Abraham Silberschatz, S. Sudarshan 0001 #t1997 #cVLDB #index53e99bf8b7602d97024a44f1 #%53e9ac38b7602d97035ff503
"#*Groupwise Processing of Relational Queries #@Damianos Chatziantoniou, Kenneth A. Ross #t1997 #cVLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases #index53908a7420f70186a0da4482 #%539087a520f70186a0d48e4a #%539087ae20f70186a0d4e0a1 #%539087cf20f70186a0d5b544 #%539087d420f70186a0d5df18 #%539087d920f70186a0d5ff84 #%539087d920f70186a0d61108 #%539087f820f70186a0d72b9a #%539087f920f70186a0d731e8 #%5390878720f70186a0d35792 #%5390881820f70186a0d8155a #%53908a4020f70186a0d9f2cc #%53908a5720f70186a0d9ffe4 #%53908a5720f70186a0d9fffc #%53908a5720f70186a0da0712 #%53908a9620f70186a0da4701 #%53908a9620f70186a0da4bae #%53908a9620f70186a0da4cea #%53908a9620f70186a0da4cee #%53908a9620f70186a0da4ec8 #%53908a9620f70186a0da4eb9"	#*Groupwise Processing of Relational Queries. #@Damianos Chatziantoniou, Kenneth A. Ross #t1997 #cVLDB #index53e9a9c4b7602d9703323382 #%53e9ac38b7602d97035ff503 #%53e9bdb3b7602d9704a60a11 #%53e99beab7602d9702491f3b #%53e9b3abb7602d9703e8f05f #%53e99e3fb7602d9702705231 #%53e99c29b7602d97024d5e2c #%53e9aeddb7602d9703907e83 #%53e9a704b7602d97030359ae #%53e9b4e0b7602d9704004dd8 #%53e9abe5b7602d97035a3c5e #%53e9a8ffb7602d9703251ecc #%53e99fe9b7602d97028c717a
"#*A Cost Model for Clustered Object-Oriented Databases #@Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang #t1995 #cVLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases #index53908a9620f70186a0da4cfd #%539087a520f70186a0d48ff7 #%539087be20f70186a0d51feb #%539087c720f70186a0d562ca #%5390880c20f70186a0d7acee #%5390882c20f70186a0d8d454 #%5390893e20f70186a0d9285c #%539089ab20f70186a0d96bb8 #%5390878e20f70186a0d39d9c #%539089d220f70186a0d9a880 #%5390878e20f70186a0d3ae86 #%53908a9620f70186a0da499d #%53908a9620f70186a0da4c48 #%5390879520f70186a0d3f9d5 #%5390879920f70186a0d410d2 #%5390879920f70186a0d41e22 #%53908b2a20f70186a0db90a3 #%53908b2a20f70186a0db94a8"	#*A Cost Model for Clustered Object-Oriented Databases. #@Georges Gardarin, Jean-Robert Gruser, Zhao-Hui Tang #t1995 #cVLDB #index53e9a3f4b7602d9702d08fe0 #%53e9a2fab7602d9702c067fc #%53e9acfdb7602d97036d9371 #%53e9a18db7602d9702a7f90a #%53e9a464b7602d9702d8183b #%53e99d87b7602d9702641e1d #%53e9b5f3b7602d9704144e73 #%53e9a885b7602d97031d5769 #%53e99d9db7602d9702657890
"#*nD-SQL: A Multi-Dimensional Language for Interoperability and OLAP #@Frédéric Gingras, Laks V. S. Lakshmanan #t1998 #cVLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases #index53908a7420f70186a0da4520 #%539087a120f70186a0d45bd9 #%539087a520f70186a0d47fa6 #%539087a520f70186a0d48ff8 #%539087aa20f70186a0d4ab6e #%539087be20f70186a0d53739 #%539087c320f70186a0d55ede #%539087d920f70186a0d60e4e #%539087dd20f70186a0d634a2 #%539087dd20f70186a0d644a5 #%539087dd20f70186a0d64512 #%5390882720f70186a0d89896 #%539089bb20f70186a0d98aad #%53908a4020f70186a0d9f4a6 #%53908a5720f70186a0da08e6 #%53908a5720f70186a0da08f2 #%53908a7420f70186a0da447a #%5390879220f70186a0d3c511 #%53908a9620f70186a0da49ba #%53908a9620f70186a0da4aee #%53908a9620f70186a0da4e3e #%53908a9620f70186a0da4ed3 #%53908a9620f70186a0da4e45 #%53908b0320f70186a0db2156"	#*nD-SQL: A Multi-Dimensional Language for Interoperability and OLAP. #@Frédéric Gingras, Laks V. S. Lakshmanan #t1998 #cVLDB #index53e9b9dab7602d97045d1409 #%53e9b91eb7602d9704504ab3 #%53e99a62b7602d97022d12b6 #%53e9b582b7602d97040c584b #%53e9b783b7602d97043292e5 #%53e9b6d6b7602d9704265eb5 #%53e9ace2b7602d97036c27d6 #%53e9bb72b7602d97047b70c0 #%53e9a51db7602d9702e3e678 #%53e9acc4b7602d97036a0ecd #%53e9ac22b7602d97035e6a11 #%53e9ae17b7602d9703825532 #%53e9b137b7602d9703bbbbdd #%53e9b44bb7602d9703f44f90 #%53e9b938b7602d9704525f2a #%53e9b01cb7602d9703a7690e
"#*Parallelizing OODBMS traversals: a performance evaluation #@David J. De Witt, Jeffrey F. Naughton, John C. Shafer, Shivakumar Venkataraman #t1996 #cThe VLDB Journal — The International Journal on Very Large Data Bases #index53908b4920f70186a0dbac65 #%539087a520f70186a0d48e4a #%539087aa20f70186a0d4bda8 #%539087be20f70186a0d51fc5 #%539087c720f70186a0d56b39 #%539087c720f70186a0d56e08 #%5390882c20f70186a0d8d454 #%53908a9620f70186a0da4717 #!In this paper we describe the design and implementation of ParSets, a means of exploiting parallelism in the SHORE OODBMS. We used ParSets to parallelize the graph traversal portion of the OO7 OODBMS benchmark, and present speedup and scaleup results from parallel SHORE running these traversals on a cluster of commodity workstations connected by a standard ethernet. For some OO7 traversals, SHORE achieved excellent speedup and scaleup; for other OO7 traversals, only marginal speedup and scaleup occurred. The characteristics of these traversals shed light on when the ParSet approach to parallelism can and cannot be applied to speed up an application."	#*Parallelising OODBMS Traversals: A Performance Evaluation #@David J. DeWitt, Jeffrey F. Naughton, John C. Shafer, Shivakumar Venkataraman #t1996 #cVLDB J. #index53e99f20b7602d97027ee76f #%53e9bdb3b7602d9704a60a11 #%53e99cd2b7602d970258689a #%53e9a38fb7602d9702c9de9a
"#*DWMS: Data Warehouse Management System #@Narendra Mohan #t1996 #cVLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases #index53908a9620f70186a0da4ecb"	#*DWMS: Data Warehouse Management System. #@Narendra Mohan #t1996 #cVLDB #index53e9ab78b7602d970351c2bb #%53e9b321b7602d9703deedf0
"#*Oracle Industrial Exhibit #@Amy Pogue #t1998 #cVLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases #index53908a7420f70186a0da452d"	#*Oracle Industrial Exhibit. #@Amy Pogue #t1998 #cVLDB #index53e99838b7602d970205f54f #%53e9b91eb7602d9704504ab3
"#*Algorithms for Mining Association Rules for Binary Segmentations of Huge Categorical Databases #@Yasuhiko Morimoto, Takeshi Fukuda, Hirofumi Matsuzawa, Takeshi Tokuyama, Kunikazu Yoda #t1998 #cVLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases #index53908a7420f70186a0da4539 #%5390877920f70186a0d2ed72 #%539087ae20f70186a0d4df1b #%539087be20f70186a0d51fe3 #%539087cb20f70186a0d593a7 #%539087d420f70186a0d5df23 #%539087d920f70186a0d5ff6f #%539087d920f70186a0d60e56 #%5390877920f70186a0d2d2c0 #%539089d320f70186a0d9c38b #%5390879220f70186a0d3cff6 #%53908a9620f70186a0da4bb0 #%53908a9620f70186a0da4cda #%53908a9620f70186a0da4e43"	#*Algorithms for Mining Association Rules for Binary Segmentations of Huge Categorical Databases. #@Yasuhiko Morimoto, Takeshi Fukuda, Hirofumi Matsuzawa, Takeshi Tokuyama, Kunikazu Yoda #t1998 #cVLDB #index53e9a906b7602d9703258b2a #%53e9b91eb7602d9704504ab3 #%53e999ffb7602d970224bf32 #%53e9b9f5b7602d97045f0396 #%53e9bb44b7602d970478494e #%53e9badfb7602d970471018c #%53e9a1d0b7602d9702acb679 #%53e99a92b7602d970230a9a8 #%53e9b102b7602d9703b803ea #%53e9b5b6b7602d97040fa1e4
"#*The power of languages for the manipulation of complex values #@Serge Abiteboul, Catriel Beeri #t1995 #cThe VLDB Journal — The International Journal on Very Large Data Bases #index539089bb20f70186a0d98adb #%5390994d20f70186a0e12505 #%539087a120f70186a0d45385 #%539087a120f70186a0d4578f #%539087aa20f70186a0d4a1df #%539087aa20f70186a0d4ab44 #%539087ae20f70186a0d4e505 #%539087b320f70186a0d5018e #%539087c320f70186a0d548f1 #%539087c320f70186a0d54c95 #%539087c320f70186a0d54c99 #%5390878320f70186a0d327c0 #%5390878320f70186a0d327bf #%5390878320f70186a0d327df #%539087f320f70186a0d705c8 #%539087f320f70186a0d705c6 #%539087f820f70186a0d72b05 #%539087f920f70186a0d731e8 #%5390878320f70186a0d33420 #%5390878320f70186a0d3342d #%539087f920f70186a0d734c2 #%539087f920f70186a0d734e5 #%539087f920f70186a0d734d7 #%5390880c20f70186a0d7ad45 #%5390880d20f70186a0d7b7bd #%5390877920f70186a0d2d40a #%5390878a20f70186a0d3701e #%5390878a20f70186a0d37331 #%5390882420f70186a0d87f6e #%5390882d20f70186a0d8e200 #%5390893e20f70186a0d93986 #%5390893e20f70186a0d939d8 #%5390878e20f70186a0d39b07 #%5390878e20f70186a0d39b06 #%5390877920f70186a0d2cbbc #%5390877920f70186a0d2df80 #%5390877920f70186a0d2e2f0 #%5390878e20f70186a0d3ae71 #%5390879920f70186a0d404e5 #%5390879920f70186a0d410d2 #%5390879920f70186a0d4167a #%53908a5720f70186a0da0ace #%53908b2a20f70186a0db87a8 #!Various models and languages for describing and manipulating hierarchically structured data have been proposed. Algebraic, calculus-based, and logic-programming oriented languages have all been considered. This article presents a general model for complex values (i.e., values with hierarchical structures), and languages for it based on the three paradigms. The algebraic language generalizes those presented in the literature; it is shown to be related to the functional style of programming advocated by Backus (1978). The notion of domain independence (from relational databases) is defined, and syntactic restrictions (referred to as safety conditions) on calculus queries are formulated to guarantee domain independence. The main results are: The domain-independent calculus, the safe calculus, the algebra, and the logic-programming oriented language have equivalent expressive power. In particular, recursive queries, such as the transitive closure, can be expressed in each of the languages. For this result, the algebra needs the powerset operation. A more restricted version of safety is presented, such that the restricted safe calculus is equivalent to the algebra without the powerset. The results are extended to the case where arbitrary functions and predicates are used in the languages."	#*The Power of Languages for the Manipulation of Complex Values #@Serge Abiteboul, Catriel Beeri #t1995 #cVLDB J. #index53e9b8a8b7602d9704480ef1 #%53e9b3b1b7602d9703e9394d #%53e99a8bb7602d97022feca6 #%53e99e69b7602d970272c2b7 #%53e9a113b7602d9702a00788 #%53e9b0c7b7602d9703b3c9d0 #%53e9af3fb7602d970397bfe6 #%53e99fd6b7602d97028aff76 #%53e99d58b7602d9702614019 #%53e9afdab7602d9703a2ccce #%53e9b80fb7602d97043c06d7 #%53e9b8dab7602d97044bc04f #%53e997a2b7602d9701f76775 #%53e99d9db7602d9702657cc7 #%53e9aa86b7602d97033fea26 #%53e99e93b7602d9702759e01 #%53e9a48eb7602d9702daf13b #%53e9bb36b7602d9704771afe #%53e997a2b7602d9701f73e89 #%53e9a501b7602d9702e20e67 #%53e9b4b0b7602d9703fc3a36 #%53e9b0d1b7602d9703b497db #%53e9a1c3b7602d9702abc5e4 #%53e99c29b7602d97024d5e2c #%53e9bd18b7602d97049a474d #%53e99838b7602d970205fdb5 #%53e9aa09b7602d9703373f73 #%53e9b124b7602d9703ba2cb9 #%53e9b1c2b7602d9703c50d8d #%53e9999eb7602d97021e72c7 #%53e9bdceb7602d9704a807ca #%53e9a593b7602d9702ebb764 #%53e9a2ebb7602d9702bf3876
"#*Flexible Relations - Operational Support of Variant Relational Structures #@Christian Kalus, Peter Dadam #t1995 #cVLDB '95 Proceedings of the 21th International Conference on Very Large Data Bases #index53908a9620f70186a0da4d8f #%5390879d20f70186a0d442d8 #%539098dc20f70186a0e0dc47 #%539087aa20f70186a0d4a1e9 #%539087aa20f70186a0d4ad42 #%5390877f20f70186a0d2f691 #%539087f820f70186a0d72c86 #%539087f820f70186a0d72cc0 #%5390880d20f70186a0d7b7bd #%5390878720f70186a0d361a5 #%5390878a20f70186a0d37348 #%5390878e20f70186a0d38e16 #%5390877920f70186a0d2d840 #%5390878e20f70186a0d39d9b #%53908a5720f70186a0da02d2 #%53908a5720f70186a0da0410 #%53908a5720f70186a0da0495 #%53908a5720f70186a0da0857 #%5390877920f70186a0d2cbbc #%5390879220f70186a0d3d1fd #%5390879520f70186a0d3fae4 #%5390879520f70186a0d3ff84 #%53908b0220f70186a0db1712 #%539090c420f70186a0ddfb44"	#*Flexible Relations - Operational Support of Variant Relational Structures. #@Christian Kalus, Peter Dadam #t1995 #cVLDB #index53e99ac4b7602d9702343ad0 #%53e9a2fab7602d9702c067fc #%53e9b3b1b7602d9703e9394d #%53e99ef4b7602d97027bef53 #%53e99e13b7602d97026d7a63 #%53e99afeb7602d970238ff0a #%53e9a85cb7602d97031a4f91 #%53e9b44bb7602d9703f4760f #%53e9b63bb7602d97041988c6 #%53e9a689b7602d9702fbee0b #%53e99866b7602d970209f7aa #%53e9b1c2b7602d9703c50d8d #%53e9a238b7602d9702b420d2 #%53e99d57b7602d970260ee6c #%53e9a03bb7602d970292400f #%53e9b381b7602d9703e5fc15 #%53e99f70b7602d9702843620 #%53e9b337b7602d9703e08501
"#*Algorithms for Materialized View Design in Data Warehousing Environment #@Jian Yang, Kamalakar Karlapalem, Qing Li #t1997 #cVLDB '97 Proceedings of the 23rd International Conference on Very Large Data Bases #index53908a9620f70186a0da4ee5 #%5390979920f70186a0e00fe2 #%539087cb20f70186a0d594f0 #%539087d420f70186a0d5fd5e #%539087d920f70186a0d5ff83 #%539087d920f70186a0d60b53 #%53908a5720f70186a0da0712 #%53908a9620f70186a0da4701 #%53908a9620f70186a0da4bae #%53908bcc20f70186a0dc59a2 #%53908bfb20f70186a0dcad02"	#*Algorithms for Materialized View Design in Data Warehousing Environment. #@Jian Yang, Kamalakar Karlapalem, Qing Li #t1997 #cVLDB #index53e9a381b7602d9702c92d6e #%53e9ac38b7602d97035ff503 #%53e9b4bfb7602d9703fdb00f #%53e99a2bb7602d9702287c51 #%53e9b615b7602d970416d686 #%53e9a704b7602d97030359ae #%53e9b8cdb7602d97044b0d80 #%53e9b281b7602d9703d27722 #%53e9b7adb7602d97043554b1
"#*Inferring Function Semantics to Optimize Queries #@Mitch Cherniack, Stanley B. Zdonik #t1998 #cVLDB '98 Proceedings of the 24rd International Conference on Very Large Data Bases #index53908a7420f70186a0da4530 #%539087a520f70186a0d48fc8 #%539087ae20f70186a0d4db8b #%539087d920f70186a0d5ff98 #%539087e720f70186a0d69652 #%539087f820f70186a0d72b9a #%5390878720f70186a0d34af7 #%5390882c20f70186a0d8d454 #%53908a5720f70186a0da0087 #%53908a5720f70186a0da0850 #%53908a5720f70186a0da0987 #%5390879920f70186a0d40e27 #%53908a9620f70186a0da4af3 #%53908a9620f70186a0da4bb3 #%53908b2a20f70186a0db94a8 #%5390940320f70186a0de968d"	#*Inferring Function Semantics to Optimize Queries. #@Mitch Cherniack, Stanley B. Zdonik #t1998 #cVLDB #index53e9bdb9b7602d9704a68e16 #%53e9b91eb7602d9704504ab3 #%53e9ad26b7602d970370a041 #%53e99e3fb7602d9702705231 #%53e9bb23b7602d9704760459 #%53e9a5d3b7602d9702eff900 #%53e9ba84b7602d97046a721c #%53e9b413b7602d9703f0b9b9 #%53e9b53cb7602d970407580f #%53e99d9db7602d9702657890
"#*TPC-D: The Challenges, Issues and Results #@Ramesh Bhashyam #t1996 #cVLDB '96 Proceedings of the 22th International Conference on Very Large Data Bases #index53908a9620f70186a0da4e2a"	#*TPC-D: The Challenges, Issues and Results. #@Ramesh Bhashyam #t1996 #cVLDB #index53e9af81b7602d97039c4d92 #%53e9b321b7602d9703deedf0
